Lat(deg),Lat,Long(deg),Long
42¡21_04_N,42.35105864,71¡17_49_W,-71.29682957
42¡33_13_N,42.55362274,72¡32_07_W,-72.53515143
42¡33_36_N,42.56003041,72¡20_13_W,-72.3368536
42¡17_33_N,42.29251627,73¡04_25_W,-73.07367975
42¡07_47_N,42.12958897,71¡04_26_W,-71.07377595
42¡18_13_N,42.30347446,71¡52_35_W,-71.87636268
42¡19_23_N,42.32318406,73¡13_01_W,-73.21690772
42¡02_52_N,42.04773956,71¡31_37_W,-71.52681535
42¡08_16_N,42.13791169,72¡22_45_W,-72.37920035
42¡25_04_N,42.4176926,72¡07_41_W,-72.12792815
42¡27_18_N,42.45504847,72¡44_21_W,-72.73906628
42¡28_02_N,42.46725606,73¡09_12_W,-73.15343001
42¡20_29_N,42.34148342,71¡55_33_W,-71.92589345
42¡17_51_N,42.29757743,73¡21_09_W,-73.3525952
42¡02_02_N,42.03380907,71¡11_08_W,-71.18559964
42¡37_47_N,42.62981549,71¡29_30_W,-71.49159062
42¡27_43_N,42.46185633,72¡24_27_W,-72.40750394
42¡40_29_N,42.67470574,73¡07_18_W,-73.12174609
42¡16_21_N,42.27236968,71¡39_19_W,-71.65528726
42¡18_28_N,42.30778722,71¡06_21_W,-71.10586695
42¡17_11_N,42.28636134,71¡49_38_W,-71.82709318
42¡37_47_N,42.62962925,71¡28_38_W,-71.47715518
42¡24_18_N,42.40507608,71¡27_43_W,-71.46193792
42¡32_03_N,42.53427452,72¡39_35_W,-72.65972794
42¡37_24_N,42.6233105,71¡07_38_W,-71.12731289
42¡09_43_N,42.16201681,71¡49_54_W,-71.83161028
42¡37_32_N,42.62554709,73¡05_35_W,-73.09310077
42¡31_05_N,42.51805149,72¡16_03_W,-72.26751929
42¡11_40_N,42.19456505,72¡29_33_W,-72.49262838
42¡18_59_N,42.31650335,71¡54_10_W,-71.90270079
42¡26_34_N,42.44291289,72¡59_55_W,-72.99853693
42¡40_15_N,42.67086678,71¡40_56_W,-71.68208921
42¡10_52_N,42.18106314,72¡58_44_W,-72.97899583
42¡18_15_N,42.30421595,72¡20_40_W,-72.34431752
42¡14_09_N,42.23575353,72¡31_08_W,-72.5187734
42¡41_39_N,42.69423564,71¡48_59_W,-71.8162633
42¡10_11_N,42.16958741,72¡24_55_W,-72.41520806
